NAMESPACE,PREFIX
http://dbpedia.org/property/18,ns0
http://dbpedia.org/property/17,ns1
http://dbpedia.org/property/sequencer/,ns2
http://dbpedia.org/property/16,ns3
http://dbpedia.org/property/capacityBbl/,ns4
http://dbpedia.org/property/15,ns5
http://dbpedia.org/property/14,ns6
http://dbpedia.org/property/venue(s),ns7
http://dbpedia.org/property/villageCode(census2011),ns8
http://dbpedia.org/property/13,ns9
http://dbpedia.org/property/12,ns10
"http://dbpedia.org/property/quererKkeos,",ns11
http://dbpedia.org/property/11,ns12
http://dbpedia.org/property/chairperson(municipalCorporation),ns13
http://dbpedia.org/property/incident(s),ns14
http://dbpedia.org/property/10,ns15
http://dbpedia.org/property/1983,ns16
http://dbpedia.org/property/nativeName(malay),ns17
http://dbpedia.org/property/1.,ns18
http://dbpedia.org/property/s/,ns19
http://dbpedia.org/property/1986,ns20
http://dbpedia.org/property/weight(inBattery),ns21
http://dbpedia.org/property/1500,ns22
http://dbpedia.org/property/1984,ns23
http://dbpedia.org/property/principalManuscript(s),ns24
"http://dbpedia.org/property/artistBiographiesForBruceAndNormanYonemoto(i.a.3165)IsInTheMuseum'sGeneralExhibitionDocumentation,",ns25
http://dbpedia.org/property/pantothenicAcid(b5),ns26
http://dbpedia.org/property/s&,ns27
http://dbpedia.org/property/hangl/chosn',ns28
"http://dbpedia.org/property/2009,2010,",ns29
"http://dbpedia.org/property/circulation15,000",ns30
http://dbpedia.org/property/height(inch),ns31
http://dbpedia.org/property/publisher/,ns32
http://dbpedia.org/property/29,ns33
http://dbpedia.org/property/28,ns34
http://dbpedia.org/property/27,ns35
http://dbpedia.org/property/26,ns36
http://dbpedia.org/property/peakOfProductionGasMmcuft/,ns37
http://dbpedia.org/property/1990,ns38
http://dbpedia.org/property/25,ns39
http://dbpedia.org/property/spouse(s),ns40
"http://dbpedia.org/property/%22%7D%5CnewStaff%5CrelativeC'%7B%5CkeyC%5Cmajor%5CclefBass%5Ctime8/4AD,GC,FB,EA,%7D%3E%3E%7D%5Clayout%7B%5Ccontext%7B%5Cscore%5C",ns41
http://dbpedia.org/property/24,ns42
http://dbpedia.org/property/sodium(inMg),ns43
http://dbpedia.org/property/23,ns44
http://dbpedia.org/property/maximumPressure(saami),ns45
http://dbpedia.org/property/22,ns46
http://dbpedia.org/property/cat+,ns47
http://dbpedia.org/property/1994,ns48
http://dbpedia.org/property/21,ns49
http://dbpedia.org/property/member',ns50
http://dbpedia.org/property/1993,ns51
http://dbpedia.org/property/20,ns52
http://dbpedia.org/property/1992,ns53
http://dbpedia.org/property/1991,ns54
http://dbpedia.org/property/2.,ns55
http://dbpedia.org/property/1998,ns56
http://dbpedia.org/property/t/,ns57
http://dbpedia.org/property/1997,ns58
http://dbpedia.org/property/1996,ns59
http://dbpedia.org/property/1995,ns60
http://dbpedia.org/property/internationalCup(s)AfcCup(playOffStage),ns61
http://dbpedia.org/property/1989,ns62
http://dbpedia.org/property/t&,ns63
http://dbpedia.org/property/t$,ns64
http://dbpedia.org/property/lyrics&,ns65
http://dbpedia.org/property/player.php%3F,ns66
http://dbpedia.org/property/trainNumber(s),ns67
http://dbpedia.org/property/19,ns68
"http://dbpedia.org/property/europe,MiddleEast&",ns69
http://dbpedia.org/property/%3C/nowiki%3E,ns70
"http://dbpedia.org/property/deputyMayor,",ns71
"http://dbpedia.org/property/gomez&Silk%22thisSamdhiIsAtTheSameTimeTheCognitiveExperienceOfEmptiness,TheAttainmentOfTheAttributesOfBuddhahood,AndThePerformanceOfAVarietyOfPracticesOrDailyActivitiesOfABodhisattvaincludingServiceAndAdorationAtTheFeetOfAllBuddhas.TheWordSamdhiIsAlsoUsedToMeanTheStraItself.Consequently,WeCanSpeakOfAnEquation,Stra%3Cnowiki%3E",ns72
"http://dbpedia.org/property/captainsSouravGanguly(india),InzamamUlHaq(pakistan).",ns73
http://dbpedia.org/property/previousYear',ns74
http://dbpedia.org/property/.%22%7D%7D%5Clayout%7B%5Ccontext%7B%5Cscore%5ComitBarnumber%7D,ns75
http://dbpedia.org/ontology/Work/,ns76
http://dbpedia.org/property/layyah%5D%5D,ns77
http://dbpedia.org/property/8.08.,ns78
http://dbpedia.org/property/officer(ceo),ns79
http://dbpedia.org/property/boats&,ns80
http://dbpedia.org/property/pressureMbar/,ns81
http://dbpedia.org/property/''online''editor',ns82
http://dbpedia.org/property/dlf/krf/,ns83
"http://dbpedia.org/property/,VideoRecordingQvga(320x240)2",ns84
http://dbpedia.org/property/r/,ns85
http://dbpedia.org/property/%5C011,ns86
http://dbpedia.org/property/1976,ns87
http://dbpedia.org/property/captain/,ns88
http://dbpedia.org/property/keyPeople(bsc),ns89
http://www.georss.org/georss/,ns90
http://dbpedia.org/ontology/PopulatedPlace/,ns91
http://dbpedia.org/property/a%5D%5D%3C/sup%3E%3Cbr%3E%22songOfTheGermans%22%3Cbr%3E(19521990)%3Cbr%3E%3C,ns92
http://dbpedia.org/property/mane/,ns93
http://dbpedia.org/property/shipBeam/,ns94
http://dbpedia.org/property/social/,ns95
http://dbpedia.org/property/director(miniRugby),ns96
http://dbpedia.org/property/53,ns97
http://dbpedia.org/property/52,ns98
http://dbpedia.org/property/51,ns99
http://dbpedia.org/property/50,ns100
http://dbpedia.org/property/w/,ns101
http://dbpedia.org/property/populationAsOf18+,ns102
http://dbpedia.org/property/5+,ns103
http://dbpedia.org/property/dlf/sp/,ns104
http://dbpedia.org/property/constructor(s),ns105
http://dbpedia.org/property/informal%25,ns106
http://dbpedia.org/property/formerDepotCodes),ns107
http://dbpedia.org/property/planeOrCopter%3F,ns108
http://dbpedia.org/property/ground(s),ns109
http://dbpedia.org/property/airport&,ns110
http://dbpedia.org/property/67,ns111
http://dbpedia.org/property/20092013,ns112
http://dbpedia.org/property/granTan%5D,ns113
http://dbpedia.org/property/socialMedia/Design/,ns114
http://dbpedia.org/property/populationTotal(town+SurroundingAreas),ns115
http://dbpedia.org/property/diskLoadingLb/,ns116
http://dbpedia.org/property/63,ns117
http://dbpedia.org/property/62,ns118
http://dbpedia.org/property/6.06.,ns119
http://dbpedia.org/property/61,ns120
http://dbpedia.org/property/tpb%23,ns121
"http://dbpedia.org/property/populationAsOf19,",ns122
"http://dbpedia.org/property/either%22igumen%22MeansSmthElseInRussianThanInEnglish,",ns123
http://dbpedia.org/property/author(s),ns124
http://dbpedia.org/property/rd1Score06''',ns125
http://dbpedia.org/property/pushpinMapsize1%60,ns126
http://dbpedia.org/property/dlf/h/,ns127
http://dbpedia.org/property/150,ns128
http://dbpedia.org/property/caps(goals),ns129
http://dbpedia.org/property/33,ns130
http://dbpedia.org/property/32,ns131
http://dbpedia.org/property/mass(jupiterMasses),ns132
http://dbpedia.org/property/31,ns133
http://dbpedia.org/property/30,ns134
http://dbpedia.org/property/spouse(ex),ns135
http://dbpedia.org/property/'''day''',ns136
http://dbpedia.org/property/u+,ns137
http://dbpedia.org/property/1999,ns138
http://dbpedia.org/property/9000,ns139
http://dbpedia.org/property/speedKm/,ns140
http://dbpedia.org/property/otherName'',ns141
http://dbpedia.org/property/writer(s),ns142
http://dbpedia.org/property/president',ns143
http://dbpedia.org/property/president&,ns144
http://dbpedia.org/property/'''onlineServices''',ns145
http://dbpedia.org/property/49,ns146
http://dbpedia.org/property/commercial%3F,ns147
http://dbpedia.org/property/vitc(inMg),ns148
http://dbpedia.org/property/chiefOfficer&,ns149
http://dbpedia.org/property/president/,ns150
http://dbpedia.org/property/43,ns151
http://dbpedia.org/property/women's7',ns152
http://dbpedia.org/property/principalConductor''',ns153
http://dbpedia.org/property/42,ns154
http://dbpedia.org/property/41,ns155
http://dbpedia.org/property/club/,ns156
http://dbpedia.org/property/turbo/,ns157
http://dbpedia.org/property/v/,ns158
http://dbpedia.org/property/state/,ns159
http://dbpedia.org/property/afr%25,ns160
http://dbpedia.org/property/scribe(s),ns161
http://dbpedia.org/property/h/krf/dlf/sp/,ns162
http://dbpedia.org/property/reportedDeath(s),ns163
http://dbpedia.org/property/7.07.,ns164
http://dbpedia.org/property/vitb6(inMg),ns165
http://dbpedia.org/property/in1917UsDollars.TheExchangeRateUsed%3Cnowiki%3E(1,ns166
http://dbpedia.org/property/lutein+,ns167
http://dbpedia.org/property/chairperson',ns168
http://dbpedia.org/property/teamManager/,ns169
http://dbpedia.org/property/fromterms%23,ns170
http://dbpedia.org/property/headOfLegal/,ns171
http://dbpedia.org/property/1/4,ns172
http://dbpedia.org/property/cost(ntResidentOnly),ns173
http://dbpedia.org/property/student/,ns174
http://dbpedia.org/property/chairman&,ns175
http://dbpedia.org/property/dlf/h/sp/,ns176
http://dbpedia.org/property/annualRidership(2013),ns177
http://www.w3.org/ns/prov#,ns178
"http://dbpedia.org/property/chairman,",ns179
http://dbpedia.org/property/poll%232,ns180
"http://dbpedia.org/property/tire,F/",ns181
http://dbpedia.org/property/poll%231,ns182
http://dbpedia.org/property/productionGasMmcuft/,ns183
http://dbpedia.org/property/othe%60%60,ns184
http://dbpedia.org/property/leader/,ns185
http://dbpedia.org/property/dryResidue(180DegreesC),ns186
http://dbpedia.org/property/sibling(s),ns187
http://dbpedia.org/property/flowrateM3/,ns188
http://dbpedia.org/property/leader',ns189
http://dbpedia.org/property/bench3F/,ns190
http://dbpedia.org/property/chairman/,ns191
http://dbpedia.org/property/100,ns192
http://dbpedia.org/property/y%25,ns193
http://dbpedia.org/property/''starhorse2FifthExpansion''*FiscalYearEnded31March20102.8&nbsp;billion*FiscalYearEnded31March20112&nbsp;billion*CurrencyConversion**2.8,ns194
http://dbpedia.org/property/teacher(s),ns195
http://dbpedia.org/property/easternSuburbs&,ns196
http://dbpedia.org/property/totalGrants&,ns197
http://dbpedia.org/property/subdivisionType2%5D%5D',ns198
http://dbpedia.org/property/formulaOfLove%3Cnowiki%3Eo+,ns199
http://dbpedia.org/property/totalSeats%25,ns200
http://dbpedia.org/property/''p'',ns201
http://dbpedia.org/property/5000,ns202
http://dbpedia.org/property/episodes8&nbsp;,ns203
http://dbpedia.org/property/pub%23,ns204
http://dbpedia.org/property/bench3G/,ns205
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#,ns206
"http://dbpedia.org/property/sportsReporter,",ns207
http://dbpedia.org/property/averageAttendance(league),ns208
http://dbpedia.org/property/rank(iam),ns209
http://dbpedia.org/property/7',ns210
http://dbpedia.org/property/spill/,ns211
http://dbpedia.org/property/c''%5E%5Cmarkup%7B%5Cnote%7B1.%7D%23,ns212
http://dbpedia.org/property/restingPlace(gadduge),ns213
http://dbpedia.org/property/''otanoshimiHizVideo+ZenSingleClip%3Cnowiki%3E,ns214
http://dbpedia.org/property/sectors(valueAdded),ns215
http://dbpedia.org/property/northShore&,ns216
http://dbpedia.org/property/125,ns217
http://dbpedia.org/property/sv/,ns218
http://dbpedia.org/property/minorForwardProduct(s),ns219
http://dbpedia.org/property/80,ns220
http://dbpedia.org/property/headquarterOfThePeople',ns221
http://dbpedia.org/property/1lEnrollmentFall',ns222
http://dbpedia.org/property/viceCaptain(s),ns223
http://dbpedia.org/property/creator(s),ns224
http://dbpedia.org/property/shipSpeedAfterReboilering(1898),ns225
http://dbpedia.org/property/psaMostRecentChampion(s),ns226
http://dbpedia.org/property/icapps(points),ns227
http://dbpedia.org/property/%22theArea%22,ns228
"http://dbpedia.org/property/leftOutIntermediateBronze(ib),AkaEbIv/",ns229
http://dbpedia.org/property/7000,ns230
http://dbpedia.org/property/nonbi%23,ns231
http://dbpedia.org/property/master',ns232
http://dbpedia.org/property/1943,ns233
http://dbpedia.org/property/20061115,ns234
http://dbpedia.org/property/stops(intermediate),ns235
"http://dbpedia.org/property/.%22%7D%5Caddlyrics%7BPulTusEst,SePulTusEst.%7D%3E%3E%5CnewStaff%3C%3C%5C",ns236
"http://dbpedia.org/property/cyears1,",ns237
http://dbpedia.org/property/shalalile/,ns238
http://dbpedia.org/property/radio',ns239
http://dbpedia.org/property/gr9%23,ns240
http://dbpedia.org/property/section%5C,ns241
http://dbpedia.org/property/sp/,ns242
http://dbpedia.org/property/topSpeed(standardNoRestrictions),ns243
"http://dbpedia.org/property/populationAsOf11,",ns244
http://dbpedia.org/property/landArea(sq.Mi),ns245
http://dbpedia.org/property/iron(inMg),ns246
http://dbpedia.org/property/battles/,ns247
http://dbpedia.org/property/originCity(hometown),ns248
http://dbpedia.org/property/300,ns249
http://dbpedia.org/property/krf/sp/,ns250
http://dbpedia.org/property/bench1F/,ns251
http://dbpedia.org/property/lit.%22you%3Cnowiki%3E,ns252
http://dbpedia.org/property/club(s),ns253
http://dbpedia.org/property/n%7D,ns254
http://dbpedia.org/property/change%25,ns255
http://dbpedia.org/property/inflationRate(consumerPrices),ns256
http://dbpedia.org/property/coachwin%25,ns257
http://dbpedia.org/property/%3Cbr/%3E,ns258
http://dbpedia.org/property/%3Ctimeline%3E,ns259
http://dbpedia.org/property/colorc%23,ns260
http://dbpedia.org/property/image',ns261
"http://dbpedia.org/property/vagueUseOfTermsLeadsToMistakes.TheTypeSite,Tul.Gh.,ShowsContinuityBetweenItsOwnLateNeolithicAndEarlyChalcolithicPhases.ThisDoesNotMeanThatThePhase/culture%22ghassulian%22,NamedAfterTheSite,IsIdenticalWithTheEntiretyOfTheLevantineChalcolithic,SoItsDatesShouldBeBasedOnAllGhassulianSites,NotJustT.Gh.ResultAStartingDateOf%22mid5m%22",ns262
http://dbpedia.org/property/projectFounder(s),ns263
"http://dbpedia.org/property/seniorEditor,",ns264
http://dbpedia.org/property/push~,ns265
http://dbpedia.org/property/bench1G/,ns266
http://dbpedia.org/property/image+,ns267
http://dbpedia.org/property/gravePlace(s),ns268
http://dbpedia.org/property/carNumber(s),ns269
http://dbpedia.org/property/howIsThisAHiddenMeaning%3F,ns270
http://dbpedia.org/property/founder(s),ns271
http://dbpedia.org/property/''borderBreak''*FiscalYearEnded31March20103.3&nbsp;billion*FiscalYearEnded31March20112.5&nbsp;billion*FiscalYearEnded31March20122.3&nbsp;billion*1stQuarterEnded30June20120.5&nbsp;billion*CurrencyConversion**3.3,ns272
"http://dbpedia.org/property/area,",ns273
http://dbpedia.org/property/strength&,ns274
http://dbpedia.org/property/ap/sp/,ns275
http://dbpedia.org/property/keel&,ns276
http://dbpedia.org/property/fuel&,ns277
http://dbpedia.org/property/trailBogie/,ns278
http://dbpedia.org/property/judge',ns279
http://dbpedia.org/property/literacyRate(%25),ns280
http://dbpedia.org/property/carrier(s),ns281
http://dbpedia.org/property/yr.%3Cnowiki%3E,ns282
http://dbpedia.org/property/area(s),ns283
http://www.ontologydesignpatterns.org/ont/d0.owl#,ns284
"http://dbpedia.org/property/(42,)",ns285
http://dbpedia.org/property/%3Csmall%3E%3C,ns286
http://dbpedia.org/property/currentMen',ns287
http://dbpedia.org/property/1997PresentClapps(points),ns288
http://dbpedia.org/property/3000,ns289
http://dbpedia.org/property/''sangokushiTaisen3''*FiscalYearEnded31March20101.8&nbsp;billion*FiscalYearEnded31March20112.6&nbsp;billion*CurrencyConversion**1.8,ns290
http://dbpedia.org/property/image&nbsp;&nbsp;&nbsp;,ns291
http://dbpedia.org/property/starterG/,ns292
http://dbpedia.org/property/middle/,ns293
http://dbpedia.org/property/%22commandVehicle%22,ns294
http://dbpedia.org/property/starterF/,ns295
http://dbpedia.org/property/instagram/,ns296
http://dbpedia.org/property/liga3(2008),ns297
http://dbpedia.org/property/pantothenic(inMg),ns298
http://dbpedia.org/property/season2021/2022SerieC1Futsal(primoClassificato),ns299
"http://dbpedia.org/property/(,42)",ns300
http://dbpedia.org/property/tiesW/,ns301
http://dbpedia.org/property/operators&,ns302
http://dbpedia.org/property/report&nbsp;&nbsp;,ns303
http://dbpedia.org/property/500,ns304
"http://dbpedia.org/property/ispartaFirstAmateurLeague,1",ns305
http://dbpedia.org/property/locale%25,ns306
http://dbpedia.org/property/facebookWww.facebook.com/druke2017/%3F,ns307
http://dbpedia.org/property/speed2Km/,ns308
http://dbpedia.org/property/nameChange(s),ns309
http://purl.org/ontology/bibo/,ns310
http://dbpedia.org/property/secondaryMembers(%3E5%25),ns311
http://dbpedia.org/property/chromosome(yeast),ns312
http://dbpedia.org/property/seats67+,ns313
http://dbpedia.org/property/coach(es),ns314
"http://dbpedia.org/property/death12.september,2012",ns315
"http://dbpedia.org/property/cello,",ns316
http://dbpedia.org/property/isbn%23,ns317
http://dbpedia.org/property/chairmanYouthDivision),ns318
http://dbpedia.org/property/headquarter(nizamuddinFaction),ns319
http://dbpedia.org/property/telephone/,ns320
http://dbpedia.org/property/wardrobe&,ns321
http://dbpedia.org/property/totalDamages(usd),ns322
http://dbpedia.org/property/linecolor&nbsp;&nbsp;&nbsp;&nbsp;,ns323
http://dbpedia.org/property/officialName%5E%5E%5Eemilyvvvv%5E%5E%5E,ns324
http://dbpedia.org/property/accelerationKm/,ns325
http://dbpedia.org/property/seats%25,ns326
http://dbpedia.org/property/wife(wives),ns327
http://dbpedia.org/property/teacher%23,ns328
http://dbpedia.org/property/averageAttendance(telstraDome),ns329
"http://dbpedia.org/property/onlySnippetsAvailableOnline,ButProbablyP.271,Not241.MaterialHerePoorlyEdited,",ns330
http://dbpedia.org/property/''worldClubChampionFootballIntercontinentalClubs''*FiscalYearEnded31March20104.2Billion*FiscalYearEnded31March20113.8&nbsp;billion*FiscalYearEnded31March20123.6&nbsp;billion*1stQuarterEnded30June20120.5&nbsp;billion*CurrencyConversion**4.2,ns331
http://dbpedia.org/property/20020122,ns332
http://dbpedia.org/property/badajoz%3C,ns333
http://dbpedia.org/property/52/,ns334
http://dbpedia.org/property/internationalCup(s),ns335
http://dbpedia.org/property/headOfNews&,ns336
http://dbpedia.org/property/bore',ns337
http://dbpedia.org/property/name''',ns338
http://dbpedia.org/property/captain(women),ns339
"http://dbpedia.org/property/rims,F/",ns340
http://dbpedia.org/property/nextYear',ns341
http://dbpedia.org/property/gdp(nominal),ns342
http://dbpedia.org/property/managingDirector/,ns343
http://dbpedia.org/property/motto'''',ns344
http://dbpedia.org/property/'''note''',ns345
http://dbpedia.org/property/productionGasMmscm/,ns346
http://dbpedia.org/property/grsp%23,ns347
http://dbpedia.org/property/chairman(minisDivision),ns348
http://dbpedia.org/property/thrust(sl),ns349
http://dbpedia.org/property/assembly%23,ns350
http://dbpedia.org/property/colora%23,ns351
http://dbpedia.org/property/winner(s),ns352
http://dbpedia.org/property/@%22(%3F%3CnumInt%3E%5Cd+)%5Cw+%22,ns353
http://dbpedia.org/property/send/,ns354
http://dbpedia.org/property/pincode(s),ns355
http://dbpedia.org/property/cupWinners',ns356
http://dbpedia.org/ontology/School/,ns357
http://dbpedia.org/property/vitb6(pyridoxine),ns358
http://dbpedia.org/property/,ns359
http://dbpedia.org/property/human+,ns360
http://dbpedia.org/property/landArea(sq.Km),ns361
http://dbpedia.org/property/ketinggian/,ns362
http://dbpedia.org/property/largestparish/,ns363
"http://dbpedia.org/property/105,000,000",ns364
"http://dbpedia.org/property/mazurek,",ns365
http://dbpedia.org/ontology/Rocket/,ns366
http://dbpedia.org/property/some(n),ns367
http://dbpedia.org/property/elevation/,ns368
http://dbpedia.org/property/theBodySaysThereWere21PeopleOnBoard.16Dead+5,ns369
http://dbpedia.org/property/2020/06/24/85,ns370
http://dbpedia.org/property/collector',ns371
"http://dbpedia.org/property/nonsensical.WhoCastHer,TheUs%22creators%22",ns372
http://dbpedia.org/property/shouldn',ns373
http://dbpedia.org/property/ceo/,ns374
http://dbpedia.org/property/nieces/,ns375
http://dbpedia.org/property/ton.%3Cnowiki%3E,ns376
http://dbpedia.org/property/discoveriesSince2018;,ns377
http://dbpedia.org/property/uic/germany/,ns378
"http://dbpedia.org/property/years1,",ns379
http://dbpedia.org/property/gr11%23,ns380
http://dbpedia.org/ontology/ChemicalSubstance/,ns381
http://dbpedia.org/property/name%3Cnowiki%3E,ns382
http://dbpedia.org/property/retired%23,ns383
http://dbpedia.org/property/captain(s),ns384
http://dbpedia.org/property/2010&2014,ns385
http://dbpedia.org/property/maximaleStauhhe(historical),ns386
http://dbpedia.org/property/team(s),ns387
"http://dbpedia.org/property/originalOwnerAnd/orOperatorOfTheShipOrTheirAgent.ContemporaneousNewspaperSourcesRarelyStateToWhichCategoryANamedPartyBelongs,ThoughOtherSourcesMayProvideClarification.AbbreviationsFc%3Cnowiki%3E",ns388
http://dbpedia.org/property/rank/,ns389
http://dbpedia.org/ontology/Automobile/,ns390
http://dbpedia.org/property/clubB&,ns391
http://dbpedia.org/property/footnotesCurrentMla(2019),ns392
"http://dbpedia.org/property/massachusettsNowRequires40%25RpsBy2030,But35%25+9x1%25",ns393
http://dbpedia.org/property/wife',ns394
http://dbpedia.org/property/%3C/,ns395
http://dbpedia.org/property/literacy(2018),ns396
http://dbpedia.org/property/caseCapacity(grainsWater),ns397
http://dbpedia.org/property/oilProductionBbl/,ns398
http://dbpedia.org/property/harfEMukatta',ns399
http://dbpedia.org/property/city/,ns400
http://dbpedia.org/property/shipBuilder(hull),ns401
http://dbpedia.org/property/partner(s),ns402
http://dbpedia.org/property/typicalInternationalNumberFormat(mobile),ns403
http://dbpedia.org/property/incorperated(town),ns404
http://dbpedia.org/property/captainMen',ns405
http://dbpedia.org/property/(assistant),ns406
http://dbpedia.org/property/equipmentManager/,ns407
http://dbpedia.org/property/knight',ns408
"http://dbpedia.org/property/%3Cnowiki%3EtotalGdpCalculatedAsSumOfGasabo,KicukiroAndNyarugengeDistricts$925,037,044+$537,601,961+$371,304,",ns409
http://dbpedia.org/property/'''record''',ns410
http://dbpedia.org/property/composer(s),ns411
http://dbpedia.org/property/formerSchool(s),ns412
http://dbpedia.org/property/nkp/,ns413
http://dbpedia.org/property/centralCoast&,ns414
"http://dbpedia.org/property/1.MixOfReferenceStyleForJosephus(%2218.27%22OneStyle,%2214.1.4%22Another),VeryPoor.2.HeWritesBetharamphthaWithPh.3.AsWeSeeFromTheQuotedLinesByJosephus,",ns415
http://dbpedia.org/property/producer/,ns416
http://dbpedia.org/property/nationa;,ns417
http://dbpedia.org/property/track(s),ns418
http://dbpedia.org/property/na%23,ns419
http://dbpedia.org/property/allMusic&,ns420
http://dbpedia.org/property/settlementDesZonesMbiriziEncoreIlT',ns421
http://dbpedia.org/property/minorReverseProduct(s),ns422
http://dbpedia.org/property/jr/,ns423
"http://dbpedia.org/property/sc,",ns424
http://dbpedia.org/property/''sengokuTaisen''*FiscalYearEnded31March20116.4&nbsp;billion*FiscalYearEnded31March20121.2&nbsp;billionCurrencyConversion*6.4,ns425
http://dbpedia.org/property/height(m),ns426
http://dbpedia.org/property/children',ns427
http://dbpedia.org/property/catches/,ns428
http://dbpedia.org/property/matchW/,ns429
"http://dbpedia.org/property/presentingTheAncientSiteAsPartOfTheBedouinVillageSeemsPoorlySupportedByEvidence,See%22",ns430
http://dbpedia.org/property/toLeft!,ns431
http://dbpedia.org/property/formerPartner(s),ns432
http://dbpedia.org/property/dlf/h/krf/,ns433
http://dbpedia.org/property/significantOther(s),ns434
http://dbpedia.org/property/cleanSurveyMissionRank(),ns435
http://dbpedia.org/property/turnout%25,ns436
http://dbpedia.org/property/pleasureTreasureVideo+AllSingleClips%3Cnowiki%3E,ns437
http://dbpedia.org/property/raas(mood),ns438
http://dbpedia.org/property/calcium(inMg),ns439
http://dbpedia.org/property/presidents',ns440
http://dbpedia.org/property/typicalLocalNumberFormat(landline),ns441
http://dbpedia.org/property/population),ns442
http://dbpedia.org/property/chanda(meter),ns443
http://dbpedia.org/property/thrust(vac),ns444
"http://dbpedia.org/property/coinOfBrajanathSingha,",ns445
http://dbpedia.org/ontology/Planet/,ns446
http://dbpedia.org/property/soleExampleOfType%3F,ns447
http://dbpedia.org/property/language(s),ns448
http://dbpedia.org/property/captainWomen',ns449
http://dbpedia.org/property/yes%25,ns450
"http://dbpedia.org/property/travel,F/",ns451
http://dbpedia.org/property/2pp%25,ns452
http://dbpedia.org/property/31/05/1987,ns453
http://dbpedia.org/property/monarch',ns454
http://dbpedia.org/property/useSe%25,ns455
"http://dbpedia.org/property/attendance91,",ns456
http://dbpedia.org/property/shogunate(s),ns457
"http://dbpedia.org/property/aBigMess.TheDistinctionIsBetweenArtificialAndNatural.ArtificialCanBeMoatsOrPonds,NaturalRivers,Marshes,Ponds,Lakes,OrTheSea.TheProblemOfLakeshoreCastlesAsListedHere(seeCh),ButWhoAreInNoWaySurroundedByWater,",ns458
"http://dbpedia.org/property/showsBoys,",ns459
http://dbpedia.org/property/populationDensity(perSquareKm),ns460
"http://dbpedia.org/property/brother(s),Sister(s)",ns461
http://dbpedia.org/property/cost(adult),ns462
"http://dbpedia.org/property/%22%7D%5CnewStaff%5CrelativeC'%7B%5CkeyC%5Cmajor%5CclefBass%5Ctime8/4CF,BE,AD,GC,%7D%3E%3E%7D%5Clayout%7B%5Ccontext%7B%5Cscore%5C",ns463
http://dbpedia.org/property/participation(total),ns464
http://dbpedia.org/property/power/,ns465
"http://dbpedia.org/property/crew(nov.21,1916)",ns466
http://dbpedia.org/property/officers/,ns467
http://dbpedia.org/property/mayor(adyaksha),ns468
http://dbpedia.org/property/1000,ns469
http://dbpedia.org/property/booker(s),ns470
http://dbpedia.org/property/wctWomen',ns471
http://dbpedia.org/property/stipulation(s),ns472
http://dbpedia.org/property/queen',ns473
http://dbpedia.org/property/coach(men),ns474
http://dbpedia.org/property/currentWomen',ns475
http://dbpedia.org/property/memberOfTheLegislativeAssembly(mla),ns476
